Year,Month,Day,Hour,Minute,Close
2023,4,10,7,38,28303.12000000
2023,4,10,7,39,28303.12000000
2023,4,10,7,40,28303.11000000
2023,4,10,7,41,28291.81000000
2023,4,10,7,42,28291.82000000
2023,4,10,7,43,28292.00000000
2023,4,10,7,44,28291.99000000
2023,4,10,7,45,28298.99000000
2023,4,10,7,46,28294.51000000
2023,4,10,7,47,28277.77000000
2023,4,10,7,48,28277.76000000
2023,4,10,7,49,28279.97000000
2023,4,10,7,50,28278.84000000
2023,4,10,7,51,28271.38000000
2023,4,10,7,52,28265.00000000
2023,4,10,7,53,28263.17000000
2023,4,10,7,54,28263.87000000
2023,4,10,7,55,28259.49000000
2023,4,10,7,56,28229.04000000
2023,4,10,7,57,28218.70000000
2023,4,10,7,58,28236.80000000
2023,4,10,7,59,28234.51000000
2023,4,10,8,0,28246.09000000
2023,4,10,8,1,28230.49000000
2023,4,10,8,2,28235.34000000
2023,4,10,8,3,28230.35000000
2023,4,10,8,4,28230.64000000
2023,4,10,8,5,28230.58000000
2023,4,10,8,6,28221.58000000
2023,4,10,8,7,28224.94000000
2023,4,10,8,8,28224.01000000
2023,4,10,8,9,28219.45000000
2023,4,10,8,10,28219.14000000
2023,4,10,8,11,28207.58000000
2023,4,10,8,12,28207.58000000
2023,4,10,8,13,28208.01000000
2023,4,10,8,14,28218.78000000
2023,4,10,8,15,28223.42000000
2023,4,10,8,16,28218.52000000
2023,4,10,8,17,28218.51000000
2023,4,10,8,18,28210.00000000
2023,4,10,8,19,28207.31000000
2023,4,10,8,20,28200.00000000
2023,4,10,8,21,28209.72000000
2023,4,10,8,22,28208.43000000
2023,4,10,8,23,28216.11000000
2023,4,10,8,24,28204.84000000
2023,4,10,8,25,28204.84000000
2023,4,10,8,26,28217.23000000
2023,4,10,8,27,28217.23000000
2023,4,10,8,28,28228.77000000
2023,4,10,8,29,28233.27000000
2023,4,10,8,30,28234.49000000
2023,4,10,8,31,28234.98000000
2023,4,10,8,32,28235.00000000
2023,4,10,8,33,28235.34000000
2023,4,10,8,34,28235.33000000
2023,4,10,8,35,28233.37000000
2023,4,10,8,36,28233.26000000
2023,4,10,8,37,28233.26000000
2023,4,10,8,38,28235.33000000
2023,4,10,8,39,28235.34000000
2023,4,10,8,40,28235.33000000
2023,4,10,8,41,28279.87000000
2023,4,10,8,42,28292.81000000
2023,4,10,8,43,28292.99000000
2023,4,10,8,44,28288.58000000
